ID;X_COORD;Y_COORD;P9303;Q9303;P93;G0;CT9303;CI9303;CC9303;WP9303;WQ9303;WP93;WG0;WCT9303;WCI9303;WCC9303
230009;-39,062720;-3,527970;0,252850;0,274000;8,734000;-0,052500;1,393960;-1,824470;-2,341030;0,660233;1,095883;1,777800;0,756650;-0,692153;-0,766153;0,435647
230010;-39,492500;-3,643120;1,244090;2,436360;1,992200;0,759930;-1,470130;0,617760;-3,324910;0,712440;1,480027;2,181320;0,916143;-0,530480;-0,559710;-0,136530
230011;-39,336650;-3,847430;0,659670;0,862760;0,627900;0,924330;-2,651110;-1,305880;2,575480;0,825262;1,578310;3,248300;0,622350;0,049678;-0,631928;-1,810736
230012;-39,371520;-4,397500;1,395190;2,707000;0,085000;0,989760;-0,792660;-1,673080;-0,380290;0,805192;1,610005;1,103520;0,831622;-0,770045;-1,558367;0,230627
230013;-38,831850;-4,406670;0,689720;1,504830;2,736700;0,670210;-1,263980;-1,750940;-1,049400;0,725984;1,426024;1,261260;0,848014;-0,234606;-1,530582;-0,121042
230014;-38,527640;-4,452320;0,008090;0,336980;0,872000;0,894920;-0,958440;-1,770550;-0,404380;0,599412;1,373760;2,792180;0,767602;-0,069470;-1,591570;-0,689828
230015;-38,125940;-4,314630;-0,192810;-0,084140;3,964600;0,522250;2,331790;-1,390890;-1,071340;0,442566;0,921422;1,851620;0,776872;0,028380;-1,138278;-0,859036
230016;-38,617950;-3,866920;0,538780;0,660880;4,414400;0,468040;0,316100;-0,449590;-0,645460;0,565783;1,102897;3,429180;0,658833;-0,029740;-1,902548;-0,348125
230017;-38,495030;-4,142890;0,590080;1,352930;0,838600;0,898950;0,803560;-3,470030;0,177830;0,260945;0,604637;2,622840;0,638855;0,106367;-1,340493;-0,792645
230018;-40,443100;-5,308500;0,851440;2,068310;0,144700;0,982560;-1,291420;-1,096880;0,539490;0,753543;1,533693;0,574960;0,925301;-0,685044;-0,802439;0,696327
230019;-39,296200;-5,106780;1,097780;2,072330;0,096300;0,988400;-0,541590;-0,289660;0,647090;0,744495;1,873589;0,885540;0,899929;-1,078646;-1,810766;-0,112598
230020;-40,288750;-6,113500;0,836100;2,500560;0,118700;0,985700;-1,771330;-0,417700;0,505800;0,472045;0,984950;0,579380;0,914337;-0,203238;-0,675812;1,372572
230021;-39,458990;-5,843160;0,762560;1,683720;0,212800;0,974360;0,009350;0,262510;1,908060;0,773757;1,957208;0,420060;0,954910;-1,146697;-1,268947;0,045265
230022;-37,622690;-4,654050;0,263590;0,233470;1,126500;0,864250;1,657810;1,055110;-1,269850;0,693843;1,881793;1,667020;0,733907;0,239297;-1,017643;-1,435983
230023;-38,156140;-5,087010;0,812290;2,022850;2,006600;0,758200;-1,677130;-1,056330;-2,153320;0,471164;1,465240;1,409700;0,874686;-0,042891;-0,761726;-0,934837
230024;-38,707000;-5,706100;0,286870;1,919100;0,521200;0,937190;-1,374080;-1,676990;-1,578980;0,779694;1,734010;1,102900;0,912050;-1,337968;-1,841152;-0,363664
230025;-38,318280;-5,898070;0,371110;1,239180;0,416600;0,949800;-2,373110;-4,135050;-0,232080;0,456960;2,058808;1,175040;0,837687;-0,321020;-0,838623;-1,385657
230026;-38,993290;-6,361450;0,854730;1,651970;0,917000;0,889490;-2,107360;-3,987230;-1,988070;0,414367;1,845483;1,593840;0,851449;-0,322749;-1,374790;0,574730
230027;-39,630190;-6,614890;0,715620;1,530980;0,447100;0,946120;0,205600;-0,145220;2,146260;0,642932;1,575535;1,541640;0,908872;-0,469723;-0,917253;0,735763
